NOI121.2,GPA.064,RC-0.87,RC27-2.12,XR-0.80,XR27-1.97,RCAA-1.91,XR+-1.85,RCWIN-0.23,XRWIN-0.22,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.75,0.000,-,0.000,0.091,-,36.4%,
