HQS率-,SQS率-,被打率.202,被BABIP.244,被出塁率.266,被長打率.254,K/BB2.88,K/96.47,BB/92.25,HR/90.28,GO/AO1.54,援護率-,IPR4.00,NHB%47.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.55,79.1%,3.89,0.45,2.81,306,4.1,0,0,32.0,8,19,35,
