アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,40,43.5%,安打,23,65.7%
フライ,26,28.3%,四死球,10,28.6%
空三振,21,22.8%,失策出塁,2,5.7%
見三振,2,2.2%,野選,0,0.0%
犠打,3,3.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
