条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.214,154,126,27,8,0,1,23,25,2,0,1
対左投手,0.171,37,35,6,0,0,0,8,1,1,0,0
