NOI415.7,GPA.214,RC17.05,RC273.57,XR17.57,XR273.68,RCAA-1.75,XR+-1.45,RCWIN-0.20,XRWIN-0.17,BABIP.246
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.84,0.120,7.35,6.16,0.068,161.00,0.230,0.570,0.00,30.4%,
