打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.295,55,226,210,26,62,14,2,3,89,24,42,10,0,4,0,2,0,0,0,0.336,0.424,0.76
Visitor,0.266,53,218,207,16,55,13,1,0,70,13,43,6,0,4,0,1,1,0,2,0.298,0.338,0.636
