打率.281,試合108,打席444,打数417,得点42,安打117,内安17,内安率14.5,２Ｂ27,３Ｂ3,本塁3,HR勝敗1-2-0,塁打159,打点37,三振85
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
16,0,8,0,3,1,0,100.0,2,0,6,.286,.318,.381,.699
