NOI444.7,GPA.238,RC50.15,RC274.38,XR48.43,XR274.23,RCAA6.44,XR+4.21,RCWIN0.74,XRWIN0.49,BABIP.343
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.19,0.037,27.75,5.22,0.101,139.00,0.141,0.601,1.50,23.4%,
