条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.259,130,112,29,2,1,2,23,12,0,5,1
対左投手,0.25,64,56,14,1,0,1,16,5,0,3,0
