球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,271,56.2%,141.8,39,54,52,88,53.5%,30.2%,0.14,57,8,2,23,14,0
スライダー,91,18.9%,126.3,4,14,17,40,38.5%,10.8%,0.412,17,7,0,1,1,0
フォーク,73,15.1%,127.1,9,7,8,34,32.9%,28.1%,0.474,19,9,1,4,1,0
カーブ,24,5.0%,106.1,0,9,5,7,58.3%,0.0%,0.667,3,2,1,0,0,0
シンカー,20,4.1%,126.1,2,3,5,9,50.0%,25.0%,0.0,3,0,0,2,0,1
チェンジアップ,2,0.4%,125.0,0,0,0,1,0.0%,0.0%,1.0,1,1,1,0,0,0
カットボール,1,0.2%,-,0,0,0,0,0.0%,0.0%,0.0,1,0,0,0,0,0
