アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,16,15.5%,安打,36,70.6%
フライ,45,43.7%,四死球,12,23.5%
空三振,31,30.1%,失策出塁,3,5.9%
見三振,10,9.7%,野選,0,0.0%
犠打,1,1.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
