HQS率-,SQS率-,被打率.259,被BABIP.312,被出塁率.314,被長打率.460,K/BB3.42,K/910.64,BB/93.12,HR/91.82,GO/AO0.36,援護率-,IPR1.65,NHB%34.2%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.95,70.7%,-8.12,-0.94,-6.29,164,9.0,0,0,34.2,21,13,28,
