左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.3% (16),33.3% (16),33.3% (16),18.8% (9),18.8% (9),18.8% (9),47.9% (23),47.9% (23),47.9% (23)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
53.8% (7),0.0% (0),26.5% (9),23.1% (3),0.0% (0),17.6% (6),23.1% (3),100.0% (1),55.9% (19)
