アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,17,27.9%,安打,14,87.5%
フライ,17,27.9%,四死球,2,12.5%
空三振,24,39.3%,失策出塁,0,0.0%
見三振,3,4.9%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
