打率.187,試合27,打席77,打数75,得点3,安打14,内安1,内安率7.1,２Ｂ4,３Ｂ0,本塁1,HR勝敗1-0-0,塁打21,打点3,三振27
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
1,0,1,0,0,0,0,-,1,0,1,.231,.208,.280,.488
