条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.244,187,168,41,10,1,8,45,15,1,1,2
対左打者,0.271,103,96,26,4,2,2,17,5,0,2,0
