HQS率41.7%,SQS率41.7%,被打率.254,被BABIP.294,被出塁率.307,被長打率.443,K/BB3.10,K/98.17,BB/92.63,HR/91.32,GO/AO0.58,援護率1.01,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.75,71.6%,-9.60,-1.11,-9.92,225,0.0,71,8,0.0,0,0,0,
