NOI391.7,GPA.206,RC13.95,RC272.73,XR13.33,XR272.61,RCAA-3.83,XR+-4.54,RCWIN-0.45,XRWIN-0.53,BABIP.310
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.22,0.023,37.40,8.13,0.022,-,0.061,0.442,0.00,15.0%,
