打率.271,試合54,打席187,打数181,得点11,安打49,内安8,内安率16.3,２Ｂ2,３Ｂ1,本塁0,HR勝敗0,塁打53,打点6,三振23
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
5,3,1,0,0,2,0,100.0,6,0,6,.224,.294,.293,.587
