球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,238,39.9%,146.3,13,25,65,62,43.3%,8.6%,.232,82,19,0,9,1,0
スライダー,84,14.1%,127.3,13,11,15,27,46.4%,28.3%,.350,20,7,0,2,1,0
カットボール,69,11.6%,138.1,13,9,19,13,59.4%,27.7%,.167,18,3,0,3,0,0
チェンジアップ,39,6.5%,128.1,4,7,5,13,41.0%,21.1%,.273,11,3,0,1,0,0
フォーク,37,6.2%,134.6,4,1,9,11,37.8%,16.0%,.357,14,5,0,2,0,0
ツーシーム,34,5.7%,141.4,3,5,10,7,52.9%,13.6%,.364,11,4,0,2,0,0
シュート,25,4.2%,144.7,2,3,5,9,40.0%,15.4%,.429,7,3,0,1,0,1
カーブ,23,3.9%,115.6,1,6,2,7,39.1%,10.0%,.375,8,3,0,1,0,0
ナックルカーブ,16,2.7%,126.8,3,0,4,5,43.8%,27.3%,.333,6,2,0,2,0,0
縦スライダー,12,2.0%,127.7,2,1,3,4,50.0%,28.6%,.000,2,0,0,0,0,0
スプリット,12,2.0%,139.2,1,1,2,6,33.3%,20.0%,.000,2,0,0,0,0,0
シンカー,5,0.8%,136.4,2,0,2,1,80.0%,50.0%,-,0,0,0,0,0,0
スクリュー,1,0.2%,136.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
ワンシーム,1,0.2%,145.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
