HQS率0.0%,SQS率0.0%,被打率.222,被BABIP.333,被出塁率.222,被長打率.222,K/BB-,K/99.00,BB/90.00,HR/90.00,GO/AO0.33,援護率4.50,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
0.77,100.0%,1.09,0.13,0.99,9,0.0,4,2,0.0,0,0,0,
