NOI437.3,GPA.238,RC1.94,RC273.49,XR2.08,XR273.75,RCAA0.04,XR+0.17,RCWIN0.00,XRWIN0.02,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.50,0.124,6.67,10.00,0.235,17.00,0.353,0.600,0.00,30.0%,
