球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,5,62.5%,138.7,0,1,0,2,20.0%,0.0%,.500,2,1,0,0,0,0
シュート,2,25.0%,145.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スライダー,1,12.5%,136.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
