NOI444.4,GPA.233,RC0.30,RC271.59,XR0.31,XR271.68,RCAA-0.28,XR+-0.26,RCWIN-0.03,XRWIN-0.03,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,6.00,0.000,-,-0.167,0.200,-,16.7%,
