NOI92.0,GPA.048,RC-1.78,RC27-1.72,XR-1.53,XR27-1.47,RCAA-4.63,XR+-4.39,RCWIN-0.55,XRWIN-0.52,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,1.76,-0.000,-,0.000,0.074,-,56.7%,
