0
最終登板
連投状況
9/23
試:0連投中日:0連投中
登録状況
△3/27登録
▼4/28抹消
△5/9登録
▼5/10抹消
△5/23登録
▼5/26抹消
△6/8登録
▼6/23抹消
△7/3登録
▼7/4抹消
△8/5登録
""
