HQS率36.4%,SQS率36.4%,被打率.260,被BABIP.292,被出塁率.287,被長打率.367,K/BB4.77,K/95.85,BB/91.23,HR/90.76,GO/AO0.95,援護率1.85,IPR3.48,NHB%35.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.00,78.7%,3.43,0.40,1.20,386,9.1,73,15,24.1,7,6,11,
