条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.234,101,94,22,4,1,3,18,7,0,0,0
対左打者,0.352,108,88,31,6,0,1,11,14,1,3,2
