条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,.230,108,100,23,3,0,2,18,7,1,0,0,0.287
1塁,.351,43,37,13,2,1,2,3,4,0,2,0,0.415
2塁,.400,14,10,4,1,0,0,2,4,0,0,0,0.571
3塁,-,1,0,0,0,0,0,0,1,0,0,0,1.0
1・2塁,.444,21,18,8,3,0,0,4,2,0,1,0,0.5
1・3塁,.500,7,6,3,1,0,0,0,0,0,0,1,0.429
2・3塁,.667,7,3,2,0,0,0,0,3,0,0,1,0.714
満塁,.000,8,8,0,0,0,0,2,0,0,0,0,0.0
得点圏,.378,58,45,17,5,0,0,8,10,0,1,2,0.474
