左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
39.6% (44),39.6% (44),39.6% (44),21.6% (24),21.6% (24),21.6% (24),38.7% (43),38.7% (43),38.7% (43)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
34.2% (13),50.0% (1),42.3% (30),26.3% (10),50.0% (1),18.3% (13),39.5% (15),0.0% (0),39.4% (28)
