打率.280,試合87,打席291,打数264,得点16,安打74,内安3,内安率4.1,２Ｂ11,３Ｂ0,本塁2,HR勝敗0-1-1,塁打91,打点16,三振23
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
12,2,4,9,2,2,0,100.0,3,3,14,.121,.319,.345,.664
