左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
42.1% (101),42.1% (101),42.1% (101),25.0% (60),25.0% (60),25.0% (60),32.9% (79),32.9% (79),32.9% (79)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
38.9% (28),100.0% (2),42.8% (71),37.5% (27),0.0% (0),19.9% (33),23.6% (17),0.0% (0),37.3% (62)
