条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,2,0,1,2,4,2,0,0,0,0,0,13
敗戦,2,7,3,9,0,5,2,1,0,0,0,0,29
勝敗無,4,3,1,5,1,0,1,0,0,0,0,0,15
