HQS率21.7%,SQS率21.7%,被打率.252,被BABIP.284,被出塁率.304,被長打率.360,K/BB2.32,K/95.88,BB/92.54,HR/90.74,GO/AO0.78,援護率2.98,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.31,73.3%,-8.11,-0.96,-7.53,474,0.0,145,48,0.0,0,0,0,
