アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,36,19.5%,安打,49,72.1%
フライ,59,31.9%,四死球,19,27.9%
空三振,71,38.4%,失策出塁,0,0.0%
見三振,19,10.3%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
