球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,381,44.8%,146.5,40,80,95,88,56.4%,18.8%,0.229,96,22,2,19,4,0
シュート,171,20.1%,145.3,13,19,44,59,44.4%,14.0%,0.4,35,14,0,2,4,2
フォーク,168,19.7%,135.7,41,11,24,73,45.2%,48.8%,0.163,43,7,0,26,2,0
スライダー,128,15.0%,128.7,16,26,19,47,47.7%,29.1%,0.429,28,12,2,8,0,1
チェンジアップ,3,0.4%,132.7,2,0,1,0,100.0%,66.7%,0.0,2,0,0,2,0,0
