HQS率-,SQS率-,被打率.400,被BABIP.500,被出塁率.455,被長打率.650,K/BB2.50,K/911.25,BB/94.50,HR/92.25,GO/AO1.00,援護率-,IPR1.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.99,69.8%,-2.51,-0.29,-1.65,12,3.0,0,0,4.0,4,0,1,
