NOI0.0,GPA.000,RC-0.31,RC27-2.77,XR-0.28,XR27-2.50,RCAA-0.59,XR+-0.56,RCWIN-0.07,XRWIN-0.07,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.00,0.000,-,0.000,0.000,-,33.3%,
