打率.256,試合76,打席194,打数168,得点16,安打43,内安6,内安率14.0,２Ｂ3,３Ｂ1,本塁3,HR勝敗3-0-0,塁打57,打点18,三振39
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,1,0,8,1,1,0,100.0,2,2,3,.239,.323,.339,.662
