防御率4.15,試合26,先発0,救援26,連投(試)0,連投(日)0,勝利3,敗戦1,HLD6,Ｓ8,ＨＰ9,ＳＰ11,救勝3,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.750,26.0,106,371,14.3,23,2,16,6,1,3,0,0,12,12,1.12,-
