アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,78,30.2%,安打,99,69.2%
フライ,108,41.9%,四死球,42,29.4%
空三振,56,21.7%,失策出塁,2,1.4%
見三振,12,4.7%,野選,0,0.0%
犠打,4,1.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
