連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 5打席
本塁打,0打席 / 1打席
無安打,0打席 / 16打席
三振,0打席 / 3打席
無三振,6打席 / 18打席
出塁,2打席 / 6打席
