打率.216,試合101,打席79,打数74,得点25,安打16,内安7,内安率43.8,２Ｂ2,３Ｂ1,本塁0,HR勝敗0,塁打20,打点6,三振12
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
3,0,0,2,0,8,3,72.7,0,0,3,.294,.247,.270,.517
