NOI336.8,GPA.179,RC4.01,RC271.64,XR4.13,XR271.69,RCAA-3.76,XR+-3.73,RCWIN-0.44,XRWIN-0.43,BABIP.258
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.031,26.33,6.58,0.054,-,0.162,0.438,0.00,19.0%,
