防御率3.38,試合2,先発0,救援2,連投(試)0,連投(日)0,勝利0,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,2.2,12,33,12.4,3,0,0,1,1,0,0,0,1,1,1.50,-
