月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
5月,.217,8,23,23,1,5,1,1,0,8,0,6,0,0,0,0,0,0,0,0,.217,.348,0.565
6月,.188,5,16,16,0,3,0,0,0,3,0,1,0,0,0,0,0,2,0,0,.188,.188,0.375
7月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
8月,.281,17,61,57,3,16,0,0,0,16,1,9,4,3,0,0,0,0,0,3,.328,.281,0.609
9月,.299,22,79,77,7,23,1,0,0,24,5,6,1,0,1,0,0,0,0,3,.316,.312,0.628
10月,.250,2,8,8,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.250,.250,0.5
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
