打率.231,試合79,打席153,打数134,得点23,安打31,内安5,内安率16.1,２Ｂ4,３Ｂ2,本塁1,HR勝敗1-0-0,塁打42,打点10,三振39
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
16,0,1,1,1,12,6,66.7,1,0,0,.310,.316,.313,.629
