左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
25.3% (24),25.3% (24),25.3% (24),26.3% (25),26.3% (25),26.3% (25),48.4% (46),48.4% (46),48.4% (46)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
23.3% (7),0.0% (0),26.6% (17),26.7% (8),0.0% (0),26.6% (17),50.0% (15),100.0% (1),46.9% (30)
