NOI447.4,GPA.238,RC42.31,RC274.11,XR41.91,XR274.07,RCAA4.38,XR+3.79,RCWIN0.52,XRWIN0.45,BABIP.284
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.60,0.089,9.28,5.54,0.125,69.00,0.252,0.638,1.67,30.1%,
