条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.184,43,38,7,1,0,1,11,3,1,1,0
対左打者,0.317,51,41,13,3,0,0,9,8,0,2,0
