HQS率-,SQS率-,被打率.377,被BABIP.413,被出塁率.415,被長打率.639,K/BB2.75,K/97.07,BB/92.57,HR/92.57,GO/AO0.35,援護率-,IPR1.17,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.77,70.1%,-6.92,-0.81,-7.38,52,5.0,0,0,14.0,12,3,8,
