防御率7.71,試合12,先発0,救援12,連投(試)0,連投(日)0,勝利0,敗戦1,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,14.0,66,252,18.0,23,4,11,4,0,0,1,0,12,12,1.93,-
