NOI435.7,GPA.230,RC19.25,RC273.79,XR19.41,XR273.82,RCAA0.15,XR+0.09,RCWIN0.02,XRWIN0.01,BABIP.315
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.067,11.41,4.97,0.083,56.00,0.190,0.586,1.50,30.4%,
