球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,104,48.4%,146.7,9,26,20,35,52.9%,20.9%,.100,20,2,0,7,4,2
チェンジアップ,22,10.2%,126.9,1,3,7,6,50.0%,7.7%,.000,5,0,0,2,0,0
スライダー,21,9.8%,128.6,2,4,0,12,28.6%,40.0%,.167,6,1,0,3,0,0
カットボール,21,9.8%,133.3,3,5,3,7,52.4%,33.3%,.500,4,2,0,1,1,0
フォーク,16,7.4%,137.4,4,2,2,6,50.0%,50.0%,.000,4,0,0,2,0,0
ツーシーム,13,6.0%,135.8,1,5,2,3,61.5%,20.0%,.000,3,0,0,1,0,0
カーブ,9,4.2%,109.9,0,2,2,5,44.4%,0.0%,-,0,0,0,0,0,0
シュート,6,2.8%,143.7,1,0,3,2,66.7%,25.0%,-,0,0,0,0,0,0
縦スライダー,2,0.9%,116.5,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
スプリット,1,0.5%,127.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
