NOI315.7,GPA.156,RC1.25,RC270.78,XR1.48,XR270.93,RCAA-3.98,XR+-3.77,RCWIN-0.47,XRWIN-0.44,BABIP.185
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.153,7.86,3.44,0.023,-,0.163,0.350,-,41.8%,
