NOI272.7,GPA.138,RC1.07,RC270.80,XR1.26,XR270.94,RCAA-3.11,XR+-2.95,RCWIN-0.37,XRWIN-0.35,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.071,22.00,5.50,0.000,-,0.061,0.286,-,22.7%,
