NOI344.9,GPA.180,RC2.82,RC271.62,XR2.89,XR271.66,RCAA-2.89,XR+-2.84,RCWIN-0.34,XRWIN-0.33,BABIP.239
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.43,0.056,20.00,8.57,0.038,-,0.075,0.364,-,16.7%,
