打率.258,試合80,打席106,打数89,得点4,安打23,内安3,内安率13.0,２Ｂ4,３Ｂ0,本塁0,HR勝敗0,塁打27,打点9,三振20
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,1,1,2,0,1,0,100.0,0,0,2,.296,.365,.303,.669
