NOI466.5,GPA.240,RC11.14,RC274.30,XR10.81,XR274.17,RCAA1.07,XR+0.68,RCWIN0.13,XRWIN0.08,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.70,0.107,7.57,5.30,0.045,-,0.213,0.632,0.00,32.1%,
