HQS率-,SQS率-,被打率.297,被BABIP.323,被出塁率.350,被長打率.486,K/BB2.50,K/94.82,BB/91.93,HR/90.96,GO/AO0.24,援護率-,IPR3.11,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.02,87.3%,0.47,0.05,0.15,38,2.2,0,0,9.1,3,1,6,
