HQS率18.2%,SQS率18.2%,被打率.264,被BABIP.306,被出塁率.307,被長打率.382,K/BB3.38,K/95.91,BB/91.75,HR/90.54,GO/AO1.82,援護率2.09,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.90,76.2%,0.32,0.04,-0.87,221,0.0,69,16,0.0,0,0,0,
