球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
スプリット,228,21.8%,135.8,36,18,46,68,43.9%,25.4%,0.207,82,17,1,23,0,0
ツーシーム,225,21.5%,141.3,12,52,51,56,51.1%,10.3%,0.298,57,17,1,3,4,3
ストレート,215,20.6%,143.2,7,48,41,74,44.7%,7.5%,0.354,48,17,1,6,3,0
スライダー,176,16.8%,128.0,13,45,23,69,46.0%,21.0%,0.258,31,8,1,5,4,0
カットボール,120,11.5%,137.3,11,20,28,44,49.2%,19.6%,0.2,20,4,0,3,1,0
カーブ,75,7.2%,118.6,7,25,8,26,53.3%,29.2%,0.333,12,4,0,3,0,0
チェンジアップ,7,0.7%,128.2,1,0,2,1,42.9%,16.7%,0.0,4,0,0,1,0,0
