防御率3.09,試合11,先発11,救援0,連投(試)0,連投(日)0,勝利2,敗戦6,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,67.0,274,1046,15.6,67,4,44,13,1,3,0,0,24,23,1.19,81.8%
