打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,129,37,0.287,10,39,8,0,1,0.326
2打席目,125,34,0.272,10,31,13,0,0,0.341
3打席目,124,34,0.274,6,38,14,0,0,0.348
4打席目,114,28,0.246,11,40,19,0,2,0.348
5打席目以上,44,16,0.364,3,14,3,0,0,0.404
